Marca,Codigo_Barras,Acción_Terapéutica,Principio_Activo,Nombre,id
ALFA,7770108301561,ANTIVIRAL,ACICLOVIR 800 MG,ACICLOVIR 800 MG CAJA X 30 COMPRIMIDOS,7770108301561
ALCOS,7770108610014,CORTICOIDES ANTIBACTERIANOS ANTIMICOTICOS,"FUNGICIDA, ANTIMICROBIANA, ANTIALERGICA, ANTIINFLAMATORIA",ALCODERM CREMA TUBO X 20 G,7770108610014
ALCOS,7770108610076,CORTICOIDES ANTIBACTERIANOS ANTIMICOTICOS,"FUNGICIDA, ANTIMICROBIANA, ANTIALERGICA, ANTIINFLAMATORIA",ALCODERM CREMA TUBO X 10 G,7770108610076
ALCOS,7770108610106,ANTIHISTAMÍNICO,CLORFENIRAMINA,ALERGIN 4 MG CAJA X 48 COMPRIMIDOS,7770108610106
ALCOS,7770108610113,ANTIHISTAMÍNICO,CLORFENIRAMINA,ALERGIN 2 MG JARABE FCO X 60 ML,7770108610113
ALCOS,7770108610151,TRATAMIENTO DE LOS TRASTORNOS MENSTRUALES,CAFEÍNA; PARACETAMOL (ACETAMINOFÉN),ALCOFEN FEMENINO CAJA X 40 COMPRIMIDOS,7770108610151
ALCOS,7770108610267,ANALGÉSICO Y ANTIPIRÉTICO,PARACETAMOL (ACETAMIINOFEN),ALCOFEN 500 MG CAJA X 72 COMPRIMIDOS,7770108610267
ALCOS,7770108610335,"TX SINTOMÁTICO DE CÓLICO, REGURGITACIONES, FLATULENCIA",BICARBONATO DE SODIO - CITRATO DE SODIO,BEBIDOL JARABE FCO X 100ML,7770108610335
ALCOS,7770108610359,ANTIHELMÍNTICO DE AMPLIO ESPECTRO,ALBENDAZOL,AFOREX 400 MG SUSPENSION CAJA X 3 FRASCOS,7770108610359
ALCOS,7770108610397,INFECCIONES VAGINALES,METRONIDAZOL,METROGYN 250 MG SUSPENCION FCO X 100 ML,7770108610397
ALCOS,7770108610564,ANTITUSIVO,CODEINA,ALCODION CAJA X 20 COMPRIMIDOS,7770108610564
ALCOS,7770108610595,ANTITUSIVO,CODEINA,ALCODION ADULTOS JARABE FCO X 180 ML,7770108610595
ALCOS,7770108610618,ANTITUSIVO,CODEINA,ALCODION NIÑOS JARABE FCO X 125 ML,7770108610618
ALCOS,7770108610649,ANTIINFLAMATORIOS OFTÁLMICOS,CLORANFENICOL Y PREDNISOLONA,ALCOPHENICOL COLIRIO X 5 ML,7770108610649
ALCOS,7770108610724,DESCONGESTIONANTE NASAL,CLORURO DE SODIO,ALCODIC SOLUCION NASAL SPRAY X 10 ML,7770108610724
ALCOS,7770108610908,ANTIFLATULENTO,"PANCREATINA,EXTRACTO DE BILIS DE BUEY",DIGESTOL CAJA X 40 CAPSULAS,7770108610908
ALCOS,7770108610915,AUXILIAR EN LAS MOLESTIAS BUCALES Y DE LA GARGANTA,"ABEJA, MIEL DE; MANZANILLA, EXTRACTO DE; PROPOLEO",ALCOSEPTOL SPRAY FCO X 30 ML,7770108610915
ALCOS,7770108611028,ANTIHIPERTENSIVO,LOSARTÁN,ALCOSERTAN 50 MG CAJA X 30 COMPRIMIDOS RECUBIERTOS,7770108611028
LAFAR,7770108670100,ANTIMICOTICO,FLUCONAZOL POLVO,FUNGOFAR TALCO X 100 GR,7770108670100
VITA,7770108750284,PARA DEFICIENCIA DE CALCIO,GLUCONATO DE CALCIO,GLUCONATO DE CALCIO 10% CAJA X 25 AMPOLLA,7770108750284
VITA,7770108750352,TRATAMIENTO PARA DEFICIENCIA DE VITAMINA C,VITAMINA C,VITA C VITAMINA C 1 G CAJA X 25 AMPOLLAS,7770108750352
VITA,7770108750383,MULTIVITAMINICO,VITAMINAS AMINOACIDOS Y MINERALES,TONICO VITA JARABE FCO X 400 ML,7770108750383
VITA,7770108750444,HIDRATANTE,LECHE DE PEPINO,LECHE DE PEPINO CARLA LORENA X 300 ML,7770108750444
VITA,7770108750840,BLANQUEADORA,CREMA DE LIMON,VITALIMON CREMA BLANQUEADORA X 24 G.,7770108750840
VITA,7770108750949,ANTIACIDO DIGESTIVO,SUBSALICILATO DE BISMUTO,VITABISMOL SUSPENSION FCO X 200 ML,7770108750949
VITA,7770108751267,MULTIVITAMINICO,VITAMINAS AMINOACIDOS Y MINERALES,TONICO VITA FRASCO X 200 ML,7770108751267
VITA,7770108751328,ANTIGRIPAL,"PARACETAMOL, PSEUDOEFEDRIANA, CLORFENIRAMINA",VITAGRIP COMPUESTO CAJA X 20 CAPSULAS,7770108751328
VITA,7770108751472,ANALGESICO. ANTIINFLAMATORIO,IBUPROFENO,VITAPROFENO IBUPROFENO 600 CAJA X 30 COMPRIMIDOS,7770108751472
VITA,7770108751489,ANTIÁCIDO,"SODIO, BICARBONATO DE; SODIO, CARBONATO",ALIA2 CAJA X 30 SOBRES,7770108751489
TELCHI,7770108830115,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL MEDICINAL,ALCOHOL MEDICINAL CON ATOMIZADOR 70 % FCO X 500 ML,7770108830115
TELCHI,7770108830122,DESINFECTANTE,ALCOHOL MEDICINAL CON ATOMIZADOR 70% X 1000 ML,ALCOHOL MEDICINAL CON ATOMIZADOR 70% X 1000 ML,7770108830122
TELCHI,7770108830207,HIDRATANTE,COCOS NUCIFERA,ACEITE DE COCO FRASCO X 500 ML,7770108830207
TELCHI,7770108830344,"AROMATIZANTE, REFRESCANTE Y EQUILIBRA EL PH DE LA PIEL",EXTRACTO DE ROSA,AGUA DE ROSAS FCO X 200 ML,7770108830344
TELCHI,7770108830351,"AROMATIZANTE, REFRESCANTE Y EQUILIBRA EL PH DE LA PIEL",EXTRACTO DE ROSA,AGUA DE ROSAS FCO X 100 ML,7770108830351
ITA,7770108870036,PARA LA DEFICIENCIA DE LOS COMPONENTES DE LA FÓRMULA,ZINC (ZN),ACTIFORTE B JARABE FCO X 120 ML,7770108870036
ITA,7770108870050,ANTIPIRETICO,IBUPROFENO 100 MG X 100 ML,IBUXOL 100 MG SUSPENSION FCO X 100 ML IBUPROFENO 100 MG X 100 ML,7770108870050
INTI PHARMANDINA,7770109040018,CORTICOIDE,EXAMETASONA 4 MG,DEXAMETASONA 4 MG IM CAJA X 100 AMPOLLAS,7770109040018
INTI ETICOS,7770109040223,ANTIVIRAL,ACICLOVIR,VIRUSAN FORTE 400 MG SUSPENSION FCO X 60 ML,7770109040223
NOSTA,7770109560080,REHIDRATANTE,BEBIDA HIDRATANTE HIPERTONICA,AGUA TONI K FCO X 600 ML,7770109560080
SOLQUIFAR,7770109560233,REGULA LA FUNCION MUSCULAR,CITRATO DE MAGNESIO 400 MG,MAGNESIUM PLUS CITRATO DE MAGNESIO FCO X 90 CAPSULAS,7770109560233
INTI VIMIN,77701138,ANTIOXIDANTE,VITAMINA A Y E,A E VIMIN CAJA X 30 COMPRIMIDOS,77701138
TEXABOL,7771011000084,MULTIPLE USO,ALGODON,ALGODON ROLLO 200 GR TEXABOL,7771011000084
ARGEBOL,7771011250014,ANTIGLAUCOMATOSO Y DIURETICO,ACETAZOLAMIDA,ACETAZOLAMIDA 250 MGCAJA X 12 COMPRIMIDOS,7771011250014
COFAR FORTIER,7771011350301,DESINTOXICANTE HEPATICO,L ORNITINA L ASPARTATO 3 GR,HEPASURE CAJA X 10 SOBRES,7771011350301
COFAR BRESKOT,7771011350493,TRATAMIENTO PARKINSON,PRAMIPEXOL 0.25 MG,PARKIXOL 0.25 MG CAJA X 32 COMPRIMIDOS,7771011350493
COFAR BRESKOT,7771011350523,ENFERMEDAD PARKINSON,PRAMIPEXOL 1 GR,PARKIXOL 1 MG CAJA X 32 COMPRIMIDOS,7771011350523
COFAR BRESKOT,7771011350554,ANALGESICO,DIPIRONA,TERADOL 500 MG JARABE X 30 ML,7771011350554
COFAR FORTIER,7771011350684,ANTIÁCIDO Y ANTIFLATULENTO,MAGALDRATO; SIMETICONA,ALIVIAX FLUX SUSPENSION FCO X 200 ML,7771011350684
COFAR BRESKOT,7771011351124,TRATA LA HIPERPROLACTINEMIA,CABERGOLINA 0.5 MG,CABERLAC 0.5 MG CAJA X 4 COMPRIMIDOS,7771011351124
COFAR BRESKOT,7771011351216,"TRATAR EL PARKINSON, DAÑO DEL SISTEMA NERVIOSO","LEVODOPA 250 MG, CARBIDOPA 25 MG",CARLEVA CAJA X 32 COMPRIMIDOS,7771011351216
COFAR FORTIER,7771011351346,"ANTIULCEROSO, INHIDOR DE LA SECRECION GASTRICA",ESOMEPRAZOL 40 MG / MOSAPRIDA CITRATO 15 MG,ESOFLUX M 40/15 MG X 30 CAPSULAS,7771011351346
GUABIRA,7771501000013,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL,ALCOHOL GUABIRA FCO X 1 L,7771501000013
EMBOL,7771605000124,REFRESCANTE,GASEOSA,FANTA BOTELLA NARANJA X 500 ML,7771605000124
EMBOL,7771605000889,REFRESCANTE,COCA COLA,COCA COLA SIN AZUCAR X 2 LITROS,7771605000889
EMBOL,77716064,REFRESCANTE,COCA COLA,COCA COLA BOTELLA X 500 ML,77716064
EMBOL,7771609000526,REFRESCANTE,POWERADE ROJO,POWERADE MULTIFRUTA ROJO BOTELLA X 473 ML,7771609000526
EMBOL,7771609000847,REFRESCANTE,FANTA PAPAYA,FANTA PAPAYA BOTELLA X 500 ML,7771609000847
EMBOL,7771609001684,REFRESCANTE,PULPA DE FRUTA,DEL VALLE DURAZNO 200 ML,7771609001684
EMBOL,7771609001691,REFRESCANTE,PULPA DE FRUTA,DEL VALLE MANZANA 200 ML,7771609001691
EMBOL,7771609002018,REFRESCANTE,SPRITE,SPRITE SIN AZUCAR BOTELLA X 500 ML,7771609002018
EMBOL,7771609003251,HIDRATANTE,AGUA,AGUA VITAL BOTELLA X 990 ML,7771609003251
MINOIL,7774904360456,REPELENTE,INCECTICIDA,TYSON AZUL MATA MOSCAS Y MOSQUITOS X 500 CM3,7774904360456
SEDIM,7775005010172,HIGIENE,JABON LIQUIDO CLASSIC TENTACION CREMOSA X 370 ML,JABON LIQUIDO CLASSIC TENTACION CREMOSA X 370 ML,7775005010172
SEDIM,7775005010202,HIGIENE,JABON LIQUIDO CLASSIC LAVANDA X 370 ML,JABON LIQUIDO CLASSIC LAVANDA X 370 ML,7775005010202
SEDIM,7775005010219,HIGIENE,JABON LIQUIDO CLASICC PETALOS DE ROSA 370 ML,JABON LIQUIDO CLASICC PETALOS DE ROSA 370 ML,7775005010219
CLASIC,7775005010424,DESINFECTANTE,ALCOHOL GEL CLASSIC LAVANDA X 370 ML,ALCOHOL GEL CLASSIC LAVANDA X 370 ML,7775005010424
CLASIC,7775005010431,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL GEL,ALCOHOL GEL CLASIC NEUTRO X 370 ML,7775005010431
SEDMAS S.R.L,7775021950032,"PAÑAL MI BEBE ""M""","PAÑAL MI BEBE ""M""","PAÑAL MI BEBE ""M"" X 48 UNID",7775021950032
SEDMAS S.R.L,7775021950049,"PAÑAL MI BEBE ""G""","PAÑAL MI BEBE ""G""","PAÑAL MI BEBE ""G"" X 40 UNID",7775021950049
SEDMAS S.R.L,7775021950056,"PAÑAL MI BEBE ""XG""","PAÑAL MI BEBE ""XG""","PAÑAL MI BEBE ""XG"" X 36 UNIDAD",7775021950056
SEDMAS S.R.L,7775021950063,"PAÑAL MI BEBE ""XXG""","PAÑAL MI BEBE ""XXG""","PAÑAL MI BEBE ""XXG"" X 32 UNID",7775021950063
INTI,77751027,PROTECCION,PRESERVATIVO,PANTERA CLASIC X 4 UNI,77751027
TEXABOL,7775110010098,LIMPIEZA,ALGODON,ALGODON PREMIER PEQUEÑO,7775110010098
TEXABOL,7776500000033,MUTIPLE USO,ALGODON PREMIER,ALGODON PREMIER ROLLO X 100 G,7776500000033
PROTEX,7776570160514,MULTIPLE USO,ALGODON,ALGODON ECOMEDIC ROLLO 100 GR,7776570160514
PROTEX,7776570160521,MULTIPLE USO,ALGODÓN,ALGODON ECOMEDIC ROLLO X 200 GR,7776570160521
PROTEX,7776570160538,MULTIPLE USO,ALGODON ECOMEDIC,ALGODON ECOMEDIC ROLLO X 400 G,7776570160538
PROTEX,7776570160545,MULTIPL USO,ALGODON ECOMEDIC,ALGODON ECOMEDIC X 50 G,7776570160545
INTI OTC,77768056,FRICCION,MENTOL EUCALIPTOL GOMENOL,MENTISAN UNGUENTO POTE X 40 GR,77768056
SEDIM,777906052480,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL GEL,ALCOHOL GEL LIZ NEUTRO X 200 ML,777906052480
REXONA,7779970676579,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL EN GEL,ALCOHOL EN GEL ORIGINAL REXONA X 1L,7779970676579
BAGO,7790375001667,NORMOLIPEMIANTE,ACIDO FENOFIBRICO 105,LIPOMAX 105 CAJA X 30 COMPRIMIDOS,7790375001667
BAGO BAYER,7790375262426,ANTISEPTICO-CICATRIZANTE,ACEXAMATO DE SODIO 5 %-CETRIMIDA 1%,BAGODERM CREMA TUBO X 50 G,7790375262426
MINOIL,779050014184,DESINFECTANTE,LYSOFORM LAVANDA DESINFECTANTE AEROSOL X 360 ML,LYSOFORM LAVANDA DESINFECTANTE AEROSOL X 360 ML,779050014184
JOHNSON,7790520009494,REPELENTE,REPELENTE,OFF FAMILY SPRAY X 170 ML,7790520009494
MINOIL,7790520014177,DESINFECTANTE,LYSOFORM ORIGINAL DESINFECTANTE AEROSOL X 360 GR.,LYSOFORM ORIGINAL DESINFECTANTE AEROSOL X 360 ML.,7790520014177
MINOIL,7790520014207,DESINFECTANTE,LYSOFORM AERO FRUTAL DESINFECTANTE AEROSOL X 360 ML,LYSOFORM AERO FRUTAL DESINFECTANTE AEROSOL X 360 ML,7790520014207
MINOIL,7790520990648,DESINFECTANTE,LYSOFORM ORIGINAL DESINFECTANTE AEROSOL X 285 ML,LYSOFORM ORIGINAL DESINFECTANTE AEROSOL X 285 ML,7790520990648
MINOIL,7790520998934,REPELENTE,OFF CREMAX 196 ML,OFF CREMA X 196 ML,7790520998934
UNILEVER,7791293004976,REPARADORES DE LA NUTRI-KERATINA REPARAN EL CABELLO DESDE ADENTRO,PROTEÍNAS Y NUTRIENTES REPARADORES,ACONDICIONADOR DOVE RECONSTRUCCION X 400 ML,7791293004976
UNILEVER,7791293027500,RIZOS DEFINIDOS ACONDICIONADOR,ACONDICIONADOR SEDAL RIZOS OBEDIENTES,ACONDICIONADOR SEDAL RIZOS OBEDIENTES X 350 ML,7791293027500
UNILEVER,7791293045931,ACONDICIONADOR CERAMIDAS,MICRO CERAMIDAS,ACONDICIONADOR SEDAL CERAMIDAS X 340 ML,7791293045931
UNILEVER,7791293048475,HIGIENE,DOVE GO FRESH 72H DESODORANTE AEROSOL ANTITRANSPARENTE X 150 ML,DESODORANTE DOVE AEROSOL PEPINO GO FRESH 72H X 150 ML,7791293048475
MEGALABS,7791763002280,ANTIMICOTICO,MICONAZOL 2 GR BETAMETASONA 0.1 GR GENTAMICINA 0.1 GR,GERMIDERM CREMA TUBO X 20 G,7791763002280
MEGALABS,7791763337696,ANTIMICOTICO,METRONIDAZOL MICONAZOL,VAGICURAL PLUS CAJA X 12 OVULOS VAGINALES,7791763337696
MINOIL,7792129000353,EDULCORANTE,AGUA CICLAMATO DE SODIO SACARINA SODICA,CHUCKER ENDULZANTE LIQUIDO X 600 CM,7792129000353
BAGO,7793640002093,ANALGESICO ANTIINFLAMATORIO ANTIPIRETICO,IBUPROFENO 4 %,ACTRON PEDIATRICO 4% SUSPENCION FCO X 100 ML,7793640002093
BAGO BAYER,7793640211396,ANALGESICO,ACIDO ACETIL SALICILICO,ASPIRINA CAJA X 100 COMPRIMIDOS,7793640211396
BAGO BAYER,7793640211419,ANALGESICO,ACIDO ACETIL SALICILICO CAFEINA,CAFIASPIRINA 0.5 G CAJA X 100 COMPRIMIDOS,7793640211419
BAGO BAYER,7793640215479,"ANALGÉSICO, ANTIINFLAMATORIO, ANTIFEBRIL",IBUPROFENO 400 MG.,ACTRON 400 MG CAJA X 10 CAPSULAS,7793640215479
BAGO BAYER,7793640216353,ANALGESICO,ACIDO ACETIL SALICILICO 100 MG,CARDIOASPIRINA 100 MG CAJA X 20 COMPRIMIDOS,7793640216353
BAGO BAYER,7793640217985,ANALGESICO,ACIDO ACETIL SALICILICO 100 MG,ASPIRINETAS CAJA X 98 COMPRIMIDOS,7793640217985
MEGALABS BAYER,7793640991755,ANTICOAGULANTE,RIVAROXABAN 10 MG,XARELTO 10 MG CAJA X 10 COMPRIMIDOS,7793640991755
BAGO BAYER,7793640992516,ANTIIINFLAMATORIO ANALGESICO,IBUPROFENO,ACTRON 600 MG CAJA X 10 CAPSULAS,7793640992516
MEGALABS ANDROMACO,7793742007583,LIMPIEZA,AGUA MICELAR,DERMAGLOS FACIAL GEL DE LIMPIEZA PIELES MIXTAS X 150 G,7793742007583
JOHNSON,7794626999314,CUIDADO INTIMO,ALGODON FIBRA,KOTEX NORMAL 2 EN 1 X 8 UNIDADES,7794626999314
QUIMIZA,7795312100090,ANTIHISTAMÍNICO,FEXOFENADINA,ALLEGRA PEDIATRICO SUSPENSION FCO X 150 ML,7795312100090
MEGALABS BAYER,7795320000245,ANTICOAGULANTE,RIVAROXABAN 15 MG,XARELTO 15 MG CAJA x 28 COMPRIMIDOS,7795320000245
MEGALABS BAYER,7795320000269,ANTICOAGULANTE,RIVAROXABAN 20 MG,XARELTO 20 MG CAJA X 28 COMPRIMIDOS,7795320000269
INTI NUTRICIA,7795323774198,FORMULA NUTRICIONAL,PREBIOTICOS Y PROBIOTICOS VITAMINAS,BEBELAC NUTRI OPTI # 1 BOLSA X 800 G,7795323774198
INTI NUTRICIA,7795323774228,FORMULA NUTRICIONAL PARA BEBE,BEBELAC NUTRI OPTI ETAPA 2,BEBELAC NUTRI OPTI # 2 BOLSA X 800 G,7795323774228
IFA,7795337862386,ESTROGENOTERAPIA,"ESTRIOL 0,5 MG",HORMO GYN CAJA X 10 OVULOS,7795337862386
MEGALABS,7795345010540,ANTIBIOTICO,AMOXICILINA 750 MG,AMOXIDAL DUO 750 MG SUSPENCION FCO X 70 ML,7795345010540
MEGALABS,7795345010601,ANTIACIDO ANTIFLATULENTO,MAGALDRATO 800 MG SIMETICONA 60 MG,ACI TIP SUSPENCION FCO X 200 ML,7795345010601
MEGALABS,7795345122045,ANTIBIOTICO,MOXICILINA 875 MG,AMOXIDAL DUO 875 MG CAJA X 14 COMPRIMIDOS RECUBIERTOS,7795345122045
MEGALABS POEN,7795368001563,CORTICOIDE,DIFLUPREDNATO 0.05 %,YSTAN EMULCION OFTALMICA X 5 ML,7795368001563
MEGALABS POEN,7795368001938,HUMECTANTES + LUBRICANTES,"ÁCIDO POLIACRÍLICO 0,2 % (CARBOMER)",ACRYLARM 0.2% X 10 GR GEL OFTALMICO,7795368001938
MEGALABS POEN,7795368002027,CORTICOIDE,LOTEPREDNOL ETABONATO 0.5,LOTESOFT SOL. OFTALMICA X 5 ML,7795368002027
MEGALABS POEN,7795368054019,LUBRICANTE HUMECTANTE,ACIDO HIALURONICO,DROPSTAR 0.4% SOL. OFTALMICA X 10 ML,7795368054019
MEGALABS POEN,7795368054477,MULTIVITAMINICO,LUTEINA VITAMINA C VITAMINA E,DIARIS CAJA X 30 CAPSULAS,7795368054477
MEGALABS POEN,7795368055207,ANTIBIOTICO,TOBRAMICINA LOTEPREDNOL,LOTEMICIN X 5 ML SOLUCION OFTALMICA,7795368055207
MEGALABS POEN,7795368055276,ANTIINFLAMATORIO,BROMFENACO 0.09 %,BRONAX SOLUCION OFTALMICA X 5 ML,7795368055276
MEGALABS POEN,7795368547283,lubricante ocular,Carboximetilcelulosa glicerina,CRISTALTEARS PLUS SOL. OFTALMICA X 10 ML,7795368547283
EUROFARMA,7798016922463,ANTICOAGULANTE,RIBAROXABAN 15 MG,RIBEX 15 MG CAJA X 30 COMPRIMIDOS,7798016922463
EUROFARMA,7798016922487,ANTICOAGULANTE,RIBAROXABAN 20 MG,RIBEX 20 MG CAJA X 30 COMPRIMIDOS,7798016922487
INTI,7798032934754,VASODILATADOR. TRATAMIENTO DE LA DISFUNCIÓN ERÉCTIL MASCULINA,SILDENAFIL,ALMUXIM 100 MG CAJA X 10 COMPRIMIDOS,7798032934754
HANSA,7798032936147,VASODILATADOR. TRATAMIENTO DE LA DISFUNCIÓN ERÉCTIL MASCULINA,SILDENAFIL,ALMAXIMO 50 MG CAJA X 2 COMPRIMIDOS,7798032936147
INTI,7798032938356,VASODILATADOR. TRATAMIENTO DE LA DISFUNCIÓN ERÉCTIL MASCULINA,SILDENAFIL,ALMUXIM 50 MG SILDENAFIL CAJA X 2,7798032938356
PROMEDICAL,7798051850691,PROBLEMAS URINARIOS POR PROSTATA AGRANDADA,TAMSULOSINA CLORHIDRATO 0.4 MG,ESPONTAL TAMSULOSINA CLORHIDRATO 0.4 MG CAJA X 30 CAPSULAS,7798051850691
MINOIL,77980755,REPELENTE MOSQUITO,OFF FAMILY CREMA,OFF FAMILY CREMA X 60 GR,77980755
BAGO,7798176009165,FORMULA INFANTIL,PREBIOTICOS Y PROBIOTICOS,SANCOR BEBE ADVANCED # 3 FLUIDA X 1 LITRO,7798176009165
BAGO,7798181641497,FORMULA INFANTIL,PREBIOTICOS Y PROBIOTICOS,SANCOR BEBE ADVANCED # 2 LATA X 800 GR,7798181641497
BAGO,7798181642081,FORMULA INFANTIL,PREBIOTICOS Y PROBIOTICOS,SANCOR BEBE ADVANCE # 3 LATA X 800 GR,7798181642081
CHILE GENERICO,7800007120090,ANSIOLOTICO,FLUNITRAZEPAM 2 MG,FLUNITRAZEPAM 2 MG CAJA X 30 COMPRMIDOS,7800007120090
CHILE GENERICO,7800007143112,ANTIINFLAMATORIO,BETAMETASONA,BETAMETASONA 0.05% CREMA DERMICA X 15 G,7800007143112
CHILE GENERICO,7800007155719,TOPICO INFECCIONES VIRALES,ACICLOVIR,ACICLOVIR CREMA DERMICA TBO X 15 GR,7800007155719
CHILE MARCA,7800007421883,ANTIHIPERTENSIVO,DOXAZOSINA,ALFADOXIN 4 MG CAJA X 30 COMPRIMIDOS,7800007421883
CHILE MARCA,7800007483997,AEROCAMARA,AEROCAMARA,AEROFACIDOSE AEROCAMARA ADULTO/ESCOLAR,7800007483997
CHILE MARCA,7800007484024,TERAPIA INHALATORIA,AEROFACIDOSE A.E.,AEROFACIDOSE AEROCAMARA LACTANTE,7800007484024
CHILE MARCA,7800007727534,ANTIBACTERIANOS BETALACTÁMICOS CEFALOSPORINAS,CEFADROXILO 500MG/5ML,ADROXEF 500 MG SUPENCION FRASCO X 100 ML,7800007727534
CHILE MARCA,7800007794215,ANTIBIÓTICO CEFALOSPORÍNICO,CEFADROXILO,ADROXEF 500 MG CAJA X 14 CAPSULAS,7800007794215
INTI MERCK,7800017025286,ANTICONCEPTIVO,CIPROTERONA ACETATO,EVILIN CAJA X 21 COMPRIMIDOS,7800017025286
PROMEDICAL GRUNENTHAL,7800018080116,DEFLAZACORT,DEFLAZACORT,AFLAZACORT 30 MG CAJA X 10 COMPRIMIDOS,7800018080116
RECALCINE,7800026012000,SUPLEMENTAR LA DIETA CON VITAMINAS ESENCIALES,VITAMINA,ACEVIT GOTAS FCO X 30 ML,7800026012000
RECALCINE,7800026013021,CONTROL DE PRESION ARTERIAL,CARVEDILOL,"BETAPLEX 6 ,25 MG CAJA X 30 COMPRIMIDOS",7800026013021
RECALCINE,7800026015261,TRATAMIENTO DE LA HIPERTENSIÓN ARTERIAL,LISINOPRIL,ACERDIL 10 MG CAJA X 30 COMPRIMIDOS,7800026015261
RECALCINE,7800026015278,TRATAMIENTO DE LA HIPERTENSIÓN ARTERIAL,"LISINOPRIL, HIDROCLOROTIAZIDA",ACERDIL D 20/12.5 CAJA X 30 COMPRIMIDOS,7800026015278
RECALCINE,7800026015469,ANTIBACTERIANO,MUPIROCINA,BANTIX 2% UNGUENTO DERMICO TUBO X 15 G,7800026015469
RECALCINE,7800026015506,BACTERICIDA,TRIMETROPINA - SULFAMETOXAZOL,BACTEROL FORTE CAJA X 10 COMPRIMIDOS,7800026015506
RECALCINE,7800026015551,BACTERICIDA,TRIMETROPIM - SULFAMETOXAZOL,BACTEROL SUSPENCION FCO X 100 ML,7800026015551
RECALCINE,7800026015650,BACTERICIDA,TRIMETROPIM - SULFAMETOXAZOL,BACTEROL FORTE SUSPENCION FCO X 100 ML,7800026015650
RECALCINE,7800026019184,TRATAMIENTO DE LA HIPERTENSIÓN,INHIBIDORES DE LA ECA MONOTERAPIA,ACERDIL 20 MG CAJA X 30 COMPRIMIDOS,7800026019184
RECALCINE,7800026024539,CONTROL DE PRESION ARTERIAL,CARVEDILOL,BETAPLEX 25 MG CAJA X 30 COMPRIMIDOS,7800026024539
RECALCINE,7800026061930,CONTROL DE PRESION ARTERIAL,CARVEDILOL,BETAPLEX 12.50 MG CAJA X 30 COMPRIMIDOS,7800026061930
RECALCINE,7800026547861,ANTICONCEPTIVO,DIENOGEST 2 MG ETINILESTRADIOL 0.03 MG,ACOTOL CAJA X 28 COMPRIMIDOS,7800026547861
BAGO,7800028002740,ANTIACNE,ISOTRETINOINA 10 MG,ACNOTIN 10 MG CAJA X 30 CAPSULAS,7800028002740
BAGO,7800028002757,ANTIACNE,ISOTRETINOINA 20 MG,ACNOTIN 20 MG CAJA X 30 CAPSULAS,7800028002757
SAVAL,7800060003095,TX DE HIPERTENSIÓN OCULAR Y GLAUCOMA CRÓNICO,BETAXOLOL COMO CLORHIDRATO,BEOF 0.5% COLIRIO FCO. X 5 ML,7800060003095
SAVAL,7800060011816,ANTITUSIVO / ANTIHISTAMÍNICO / DESCONGESTIONANTE,PSEUDOEFEDRINA - CODEINA - CLORFENAMINA,BEQUIUM JARABE FCO X 120 ML,7800060011816
SAVAL,7800060040229,ANTIALERGICO ANTIHISTANMINICO,OLOPATADIN 0.2%,OLOF COLIRIO GTS X 5 ML,7800060040229
SAVAL,7800060111189,ANTIBIOTICO,AMOXICILINA 1 GR,AMOVAL 1 G CAJA X 14 COMPRIMIDOS DISPERSABLES,7800060111189
SAVAL,7800060112315,ANTIHISTAMÍNICO,FEXOFENADINA,ALEXIA CAJA X 10 COMPRIMIDOS,7800060112315
SAVAL,7800060118782,ANTIHISTAMÍNICO,FEXOFENADINA,ALEXIA FORTE 180 MG CAJA X 10 COMPRIMIDOS,7800060118782
SAVAL,7800060122116,PROFILAXIS Y TRATAMIENTO DE ESTADOS CARENCIALES DE ZINC,ZINC SULFATO,ALTA ZINC 10 MG CAJA X 40 COMPRIMIDOS,7800060122116
SAVAL,7800060122383,PROFILAXIS Y TRATAMIENTO DE ESTADOS CARENCIALES DE ZINC,ZINC SULFATO,ALTA ZINC 5 MG GOTAS FCO X 30 ML,7800060122383
SAVAL,7800060124240,ANTITUSIVO,LEVODROPROPIZINA,BRONCATOX JARABE FCO X 120ML,7800060124240
SAVAL,7800060125995,ANTIHISTAMINICO,LEVOCETIRIZINA,ZIVAL GOTAS FCO X 20 ML,7800060125995
SAVAL,7800060132429,HIPOLIPEMIANTE,ROSUVASTATINA 10 MG,RUX 10 MG CAJA X 30 COMPRIMIDOS,7800060132429
SAVAL,7800060405844,ANTIDEPRESIVO,FLUOXETINA,ACTAN CD 20 MG CAJA X 30 COMPRIMIDOS,7800060405844
SAVAL,7800060410176,ANTIBIOTICO,CLARITROMICINA 250 MG,EUROMICINA 250 MG SUSPENCION FCO X 80 ML,7800060410176
SAVAL,7800060411814,ANTIHERTENSIVO,CANDESARTAN CILEXETILO,BLOX 16 MG CAJA X 30 COMPRIMIDOS,7800060411814
SAVAL,7800060414082,VASODILATADOR CEREBRAL,MODAFINILO,ALERTEX 100 MG CAJA X 30 COMPRIMIDOS,7800060414082
